S.N,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Win Team
209,India,England,England,6 wickets,Pune,2021-03-26,ODI # 4283,Team 2
210,India,England,India,7 runs,Pune,2021-03-28,ODI # 4284,Team 1
211,South Africa,Pakistan,Pakistan,3 wickets,Centurion,2021-04-02,ODI # 4285,Team 2
212,South Africa,Pakistan,South Africa,17 runs,Johannesburg,2021-04-04,ODI # 4286,Team 1
213,South Africa,Pakistan,Pakistan,28 runs,Centurion,2021-04-07,ODI # 4287,Team 2
214,Netherlands,Scotland,Netherlands,14 runs,Rotterdam,2021-05-19,ODI # 4288,Team 1
215,Netherlands,Scotland,Scotland,6 wickets,Rotterdam,2021-05-20,ODI # 4289,Team 2
216,Bangladesh,Sri Lanka,Bangladesh,33 runs,Mirpur,2021-05-23,ODI # 4290,Team 1
217,Bangladesh,Sri Lanka,Bangladesh,103 runs,Mirpur,2021-05-25,ODI # 4291,Team 1
218,Bangladesh,Sri Lanka,Sri Lanka,97 runs,Mirpur,2021-05-28,ODI # 4292,Team 2
219,Netherlands,Ireland,Netherlands,1 run,Utrecht,2021-06-02,ODI # 4293,Team 1
220,Netherlands,Ireland,Ireland,8 wickets,Utrecht,2021-06-04,ODI # 4294,Team 2
221,Netherlands,Ireland,Netherlands,4 wickets,Utrecht,2021-06-07,ODI # 4295,Team 1
222,England,Sri Lanka,England,5 wickets,Chester-le-Street,2021-06-29,ODI # 4296,Team 1
223,England,Sri Lanka,England,8 wickets,The Oval,2021-07-01,ODI # 4297,Team 1
224,England,Sri Lanka,no result,-,Bristol,2021-07-04,ODI # 4298,No Result
225,England,Pakistan,England,9 wickets,Cardiff,2021-07-08,ODI # 4299,Team 1
226,England,Pakistan,England,52 runs,Lord's,2021-07-10,ODI # 4300,Team 1
227,Ireland,South Africa,no result,-,Dublin (Malahide),2021-07-11,ODI # 4301,No Result
228,Ireland,South Africa,Ireland,43 runs,Dublin (Malahide),2021-07-13,ODI # 4302,Team 1
229,England,Pakistan,England,3 wickets,Birmingham,2021-07-13,ODI # 4303,Team 1
230,Zimbabwe,Bangladesh,Bangladesh,155 runs,Harare,2021-07-16,ODI # 4304,Team 2
231,Ireland,South Africa,South Africa,70 runs,Dublin (Malahide),2021-07-16,ODI # 4305,Team 2
232,Zimbabwe,Bangladesh,Bangladesh,3 wickets,Harare,2021-07-18,ODI # 4306,Team 2
233,Sri Lanka,India,India,7 wickets,Colombo (RPS),2021-07-18,ODI # 4307,Team 2
234,Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare,2021-07-20,ODI # 4308,Team 2
235,Sri Lanka,India,India,3 wickets,Colombo (RPS),2021-07-20,ODI # 4309,Team 2
236,West Indies,Australia,Australia,133 runs,Bridgetown,2021-07-20,ODI # 4310,Team 2
237,West Indies,Australia,West Indies,4 wickets,Bridgetown,2021-07-24,ODI # 4311,Team 1
238,Sri Lanka,India,Sri Lanka,3 wickets,Colombo (RPS),2021-07-23,ODI # 4312,Team 1
239,West Indies,Australia,Australia,6 wickets,Bridgetown,2021-07-26,ODI # 4313,Team 2
240,Sri Lanka,South Africa,Sri Lanka,14 runs,Colombo (RPS),2021-09-02,ODI # 4314,Team 1
241,Sri Lanka,South Africa,South Africa,67 runs,Colombo (RPS),2021-09-04,ODI # 4315,Team 2
242,P.N.G.,U.S.A.,U.S.A.,7 wickets,Al Amerat,2021-09-06,ODI # 4316,Team 2
243,Nepal,P.N.G.,Nepal,2 wickets,Al Amerat,2021-09-07,ODI # 4317,Team 1
244,Sri Lanka,South Africa,Sri Lanka,78 runs,Colombo (RPS),2021-09-07,ODI # 4318,Team 1
245,Ireland,Zimbabwe,Zimbabwe,38 runs,Belfast,2021-09-08,ODI # 4319,Team 2
246,P.N.G.,U.S.A.,U.S.A.,134 runs,Al Amerat,2021-09-09,ODI # 4320,Team 2
247,Ireland,Zimbabwe,no result,-,Belfast,2021-09-10,ODI # 4321,No Result
248,Nepal,P.N.G.,Nepal,151 runs,Al Amerat,2021-09-10,ODI # 4322,Team 1
249,Ireland,Zimbabwe,Ireland,7 wickets,Belfast,2021-09-13,ODI # 4323,Team 1
250,Nepal,U.S.A.,Nepal,5 wickets,Al Amerat,2021-09-13,ODI # 4324,Team 1
251,Oman,Nepal,Oman,5 wickets,Al Amerat,2021-09-14,ODI # 4325,Team 1
252,Oman,U.S.A.,Oman,4 wickets,Al Amerat,2021-09-16,ODI # 4326,Team 1
253,Nepal,U.S.A.,U.S.A.,6 wickets,Al Amerat,2021-09-17,ODI # 4327,Team 2
254,Oman,Nepal,Nepal,7 wickets,Al Amerat,2021-09-19,ODI # 4328,Team 2
255,Oman,U.S.A.,Oman,72 runs,Al Amerat,2021-09-20,ODI # 4329,Team 1
256,P.N.G.,Scotland,Scotland,6 wickets,Al Amerat,2021-09-25,ODI # 4330,Team 2
257,Oman,P.N.G.,Oman,110 runs,Al Amerat,2021-09-26,ODI # 4331,Team 1
258,Oman,Scotland,Scotland,18 runs,Al Amerat,2021-09-28,ODI # 4332,Team 2
259,P.N.G.,Scotland,Scotland,4 wickets,Al Amerat,2021-09-29,ODI # 4333,Team 2
260,Oman,P.N.G.,Oman,3 wickets,Al Amerat,2021-10-01,ODI # 4334,Team 1
261,Oman,Scotland,no result,-,Al Amerat,2021-10-02,ODI # 4335,No Result
262,Namibia,Oman,Namibia,40 runs,Windhoek,2021-11-26,ODI # 4336,Team 1
263,South Africa,Netherlands,no result,-,Centurion,2021-11-26,ODI # 4337,No Result
264,Namibia,Oman,Oman,9 runs,Windhoek,2021-11-27,ODI # 4338,Team 2
265,West Indies,Ireland,West Indies,24 runs,Kingston,2022-01-08,ODI # 4339,Team 1
266,West Indies,Ireland,Ireland,5 wickets,Kingston,2022-01-13,ODI # 4340,Team 2
267,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Pallekele,2022-01-16,ODI # 4341,Team 1
268,West Indies,Ireland,Ireland,2 wickets,Kingston,2022-01-16,ODI # 4342,Team 2
269,Sri Lanka,Zimbabwe,Zimbabwe,22 runs,Pallekele,2022-01-18,ODI # 4343,Team 2
270,South Africa,India,South Africa,31 runs,Paarl,2022-01-19,ODI # 4344,Team 1
271,Afghanistan,Netherlands,Afghanistan,36 runs,Doha,2022-01-21,ODI # 4345,Team 1
272,South Africa,India,South Africa,7 wickets,Paarl,2022-01-21,ODI # 4346,Team 1
273,Sri Lanka,Zimbabwe,Sri Lanka,184 runs,Pallekele,2022-01-21,ODI # 4347,Team 1
274,Afghanistan,Netherlands,Afghanistan,48 runs,Doha,2022-01-23,ODI # 4348,Team 1
275,South Africa,India,South Africa,4 runs,Cape Town,2022-01-23,ODI # 4349,Team 1
276,Afghanistan,Netherlands,Afghanistan,75 runs,Doha,2022-01-25,ODI # 4350,Team 1
277,Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,2022-02-05,ODI # 4351,Team 2
278,Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,2022-02-06,ODI # 4352,Team 2
279,India,West Indies,India,6 wickets,Ahmedabad,2022-02-06,ODI # 4353,Team 1
